MotorPH Company-Wide Monthly Payroll Report - June 2024

EMP #,Name,Position,Gross Pay,SSS,PhilHealth,Pag-IBIG,Tax,Total Deductions,Benefits,Net Pay
10001,Manuel III Garcia,Chief Executive Officer,102026.79,1750.00,2250.00,200.00,16573.23,20773.23,4500.00,85753.56
10002,Antonio Lim,Chief Operating Officer,68261.90,1750.00,1500.00,200.00,8304.25,11754.25,4500.00,61007.65
10003,Bianca Sofia Aquino,Chief Finance Officer,62779.76,1750.00,1500.00,200.00,8304.25,11754.25,4500.00,55525.51
10004,Isabella Reyes,Chief Marketing Officer,62238.10,1750.00,1500.00,200.00,8304.25,11754.25,4500.00,54983.85
10005,Eduard Hernandez,IT Operations and Systems,54248.01,1750.00,1316.75,200.00,6517.56,9784.31,3500.00,47963.70
10006,Andrea Mae Villanueva,HR Manager,57111.42,1750.00,1316.75,200.00,6517.56,9784.31,3500.00,50827.11
10007,Brad San Jose,HR Team Leader,43512.19,1750.00,1074.38,200.00,4154.41,7178.78,3100.00,39433.41
10008,Alice Romualdez,HR Rank and File,23417.41,1012.50,562.50,200.00,0.00,1775.00,2500.00,24142.41
10009,Rosie Atienza,HR Rank and File,24310.27,1012.50,562.50,200.00,0.00,1775.00,2500.00,25035.27
10010,Roderick Alvaro,Accounting Head,53375.40,1750.00,1316.75,200.00,6517.56,9784.31,3500.00,47091.09
10011,Anthony Salcedo,Payroll Manager,54899.07,1750.00,1270.63,200.00,6067.84,9288.47,3500.00,49110.60
10012,Josie Lopez,Payroll Team Leader,40005.60,1750.00,961.88,200.00,3057.53,5969.41,3100.00,37136.20
10013,Martha Farala,Payroll Rank and File,26597.62,1080.00,600.00,200.00,257.40,2137.40,2500.00,26960.22
10014,Leila Martinez,Payroll Rank and File,26326.19,1080.00,600.00,200.00,257.40,2137.40,2500.00,26688.79
10015,Fredrick Romualdez,Account Manager,59948.66,1750.00,1337.50,200.00,6719.88,10007.38,3500.00,53441.29
10016,Christian Mata,Account Team Leader,46650.04,1750.00,1074.38,200.00,4154.41,7178.78,3100.00,42571.26
10017,Selena De Leon,Account Team Leader,43942.50,1750.00,1046.25,200.00,3880.19,6876.44,3100.00,40166.06
10018,Allison San Jose,Account Rank and File,24633.93,1012.50,562.50,200.00,0.00,1775.00,2500.00,25358.93
10019,Cydney Rosario,Account Rank and File,23517.86,1012.50,562.50,200.00,0.00,1775.00,2500.00,24242.86
10020,Mark Bautista,Account Rank and File,24583.18,1057.50,581.25,200.00,115.65,1954.40,2500.00,25128.78
10021,Darlene Lazaro,Account Rank and File,25171.35,1057.50,581.25,200.00,115.65,1954.40,2500.00,25716.95
10022,Kolby Delos Santos,Account Rank and File,25469.05,1080.00,600.00,200.00,257.40,2137.40,2500.00,25831.65
10023,Vella Santos,Account Rank and File,23787.95,1012.50,562.50,200.00,0.00,1775.00,2500.00,24512.95
10024,Tomas Del Rosario,Account Rank and File,24176.34,1012.50,562.50,200.00,0.00,1775.00,2500.00,24901.34
10025,Jacklyn Tolentino,Account Rank and File,24061.90,1080.00,600.00,200.00,257.40,2137.40,2500.00,24424.50
10026,Percival Gutierrez,Account Rank and File,26525.22,1125.00,618.75,200.00,394.65,2338.40,2500.00,26686.82
10027,Garfield Manalaysay,Account Rank and File,27004.02,1125.00,618.75,200.00,394.65,2338.40,2500.00,27165.62
10028,Lizeth Villegas,Account Rank and File,25469.05,1080.00,600.00,200.00,257.40,2137.40,2500.00,25831.65
10029,Carol Ramos,Account Rank and File,24448.66,1012.50,562.50,200.00,0.00,1775.00,2500.00,25173.66
10030,Emelia Maceda,Account Rank and File,23955.36,1012.50,562.50,200.00,0.00,1775.00,2500.00,24680.36
10031,Delia Aguilar,Account Rank and File,24662.95,1012.50,562.50,200.00,0.00,1775.00,2500.00,25387.95
10032,John Rafael Castro,Sales & Marketing,56599.35,1750.00,1316.75,200.00,6517.56,9784.31,3500.00,50315.04
10033,Carlos Ian Martinez,Supply Chain and Logistics,55345.30,1750.00,1316.75,200.00,6517.56,9784.31,3500.00,49060.99
10034,Beatriz Santos,Customer Service and Relations,56583.67,1750.00,1316.75,200.00,6517.56,9784.31,3500.00,50299.36
,── TOTALS ──,,1365646.07,46877.50,31878.00,6800.00,110933.20,196488.70,103400.00,1272557.36
