MotorPH Company-Wide Semi-Monthly Payroll Report

EMP #,Name,Position,Gross Pay,SSS,PhilHealth,Pag-IBIG,Tax,Total Deductions,Benefits,Net Pay
10001,Manuel III Garcia,Chief Executive Officer,45000.00,875.00,1125.00,100.00,8286.62,10386.62,2250.00,36863.39
10002,Antonio Lim,Chief Operating Officer,30000.00,875.00,750.00,100.00,4152.13,5877.13,2250.00,26372.88
10003,Bianca Sofia Aquino,Chief Finance Officer,30000.00,875.00,750.00,100.00,4152.13,5877.13,2250.00,26372.88
10004,Isabella Reyes,Chief Marketing Officer,30000.00,875.00,750.00,100.00,4152.13,5877.13,2250.00,26372.88
10005,Eduard Hernandez,IT Operations and Systems,26335.00,875.00,658.38,100.00,3258.78,4892.16,1750.00,23192.84
10006,Andrea Mae Villanueva,HR Manager,26335.00,875.00,658.38,100.00,3258.78,4892.16,1750.00,23192.84
10007,Brad San Jose,HR Team Leader,21487.50,875.00,537.19,100.00,2077.20,3589.39,1550.00,19448.11
10008,Alice Romualdez,HR Rank and File,11250.00,506.25,281.25,100.00,0.00,887.50,1250.00,11612.50
10009,Rosie Atienza,HR Rank and File,11250.00,506.25,281.25,100.00,0.00,887.50,1250.00,11612.50
10010,Roderick Alvaro,Accounting Head,26335.00,875.00,658.38,100.00,3258.78,4892.16,1750.00,23192.84
10011,Anthony Salcedo,Payroll Manager,25412.50,875.00,635.31,100.00,3033.92,4644.23,1750.00,22518.27
10012,Josie Lopez,Payroll Team Leader,19237.50,875.00,480.94,100.00,1528.77,2984.70,1550.00,17802.80
10013,Martha Farala,Payroll Rank and File,12000.00,540.00,300.00,100.00,128.70,1068.70,1250.00,12181.30
10014,Leila Martinez,Payroll Rank and File,12000.00,540.00,300.00,100.00,128.70,1068.70,1250.00,12181.30
10015,Fredrick Romualdez,Account Manager,26750.00,875.00,668.75,100.00,3359.94,5003.69,1750.00,23496.31
10016,Christian Mata,Account Team Leader,21487.50,875.00,537.19,100.00,2077.20,3589.39,1550.00,19448.11
10017,Selena De Leon,Account Team Leader,20925.00,875.00,523.13,100.00,1940.09,3438.22,1550.00,19036.78
10018,Allison San Jose,Account Rank and File,11250.00,506.25,281.25,100.00,0.00,887.50,1250.00,11612.50
10019,Cydney Rosario,Account Rank and File,11250.00,506.25,281.25,100.00,0.00,887.50,1250.00,11612.50
10020,Mark Bautista,Account Rank and File,11625.00,528.75,290.63,100.00,57.83,977.20,1250.00,11897.80
10021,Darlene Lazaro,Account Rank and File,11625.00,528.75,290.63,100.00,57.83,977.20,1250.00,11897.80
10022,Kolby Delos Santos,Account Rank and File,12000.00,540.00,300.00,100.00,128.70,1068.70,1250.00,12181.30
10023,Vella Santos,Account Rank and File,11250.00,506.25,281.25,100.00,0.00,887.50,1250.00,11612.50
10024,Tomas Del Rosario,Account Rank and File,11250.00,506.25,281.25,100.00,0.00,887.50,1250.00,11612.50
10025,Jacklyn Tolentino,Account Rank and File,12000.00,540.00,300.00,100.00,128.70,1068.70,1250.00,12181.30
10026,Percival Gutierrez,Account Rank and File,12375.00,562.50,309.38,100.00,197.33,1169.20,1250.00,12455.80
10027,Garfield Manalaysay,Account Rank and File,12375.00,562.50,309.38,100.00,197.33,1169.20,1250.00,12455.80
10028,Lizeth Villegas,Account Rank and File,12000.00,540.00,300.00,100.00,128.70,1068.70,1250.00,12181.30
10029,Carol Ramos,Account Rank and File,11250.00,506.25,281.25,100.00,0.00,887.50,1250.00,11612.50
10030,Emelia Maceda,Account Rank and File,11250.00,506.25,281.25,100.00,0.00,887.50,1250.00,11612.50
10031,Delia Aguilar,Account Rank and File,11250.00,506.25,281.25,100.00,0.00,887.50,1250.00,11612.50
10032,John Rafael Castro,Sales & Marketing,26335.00,875.00,658.38,100.00,3258.78,4892.16,1750.00,23192.84
10033,Carlos Ian Martinez,Supply Chain and Logistics,26335.00,875.00,658.38,100.00,3258.78,4892.16,1750.00,23192.84
10034,Beatriz Santos,Customer Service and Relations,26335.00,875.00,658.38,100.00,3258.78,4892.16,1750.00,23192.84
,── TOTALS ──,,637560.00,23438.75,15939.00,3400.00,55466.60,98244.35,51700.00,591015.65
